Simulação,Períodos,Valor,Incerteza
OriginalData,P_PS,2.566737418358399,0.45503270484554187
OriginalData,P_ACF,2.615507662296295,-1.0
OriginalData,P_CS,2.559110778328031,0.2913374464368671
InitialData,P_PS,11.712106333742005,4.514671303854972
InitialData,P_ACF,12.666666666666487,-1.0
InitialData,P_CS,6.599999999999907,1.7606752576340539
Alpha=1,P_PS,12.066861931359849,3.4888052381350687
Alpha=1,P_ACF,11.99999999999983,-1.0
Alpha=1,P_CS,12.093368940204012,1.2607635284251202
Alpha=0.05,P_PS,11.56912514349599,4.441837746357786
Alpha=0.05,P_ACF,11.99999999999983,-1.0
Alpha=0.05,P_CS,6.0599999999999135,1.9399394211408894
AreaEvolAmplitude=0.5,P_PS,12.054453550910686,3.7131946899831765
AreaEvolAmplitude=0.5,P_ACF,11.99999999999983,-1.0
AreaEvolAmplitude=0.5,P_CS,12.119999999999827,1.0879963884844772
AreaEvolAmplitude=0.1,P_PS,11.712485355016284,4.279959680103799
AreaEvolAmplitude=0.1,P_ACF,11.99999999999983,-1.0
AreaEvolAmplitude=0.1,P_CS,12.01312459864524,1.2901924331811365
AreaEvolAmplitude=0.05,P_PS,12.165256811279548,3.6958867736486276
AreaEvolAmplitude=0.05,P_ACF,11.99999999999983,-1.0
AreaEvolAmplitude=0.05,P_CS,12.119999999999827,1.280526714346641
AreaEvolExponent=0.3,P_PS,12.082628001700185,4.975299358036942
AreaEvolExponent=0.3,P_ACF,12.666666666666487,-1.0
AreaEvolExponent=0.3,P_CS,6.599999999999907,1.921322705285931
